n,p,m,L,rep,time_vd,time_tl,mem_vd_mb,mem_tl_mb,ok_vd,ok_tl
1000,10000,1,10000,24,0.284957,0.318955,87.1875,269.422,1,1
1000,10000,1,10000,25,0.27354,0.209851,87.0156,202.766,1,1
1000,10000,1,10000,26,0.36058,0.278676,89.4688,239.406,1,1
1000,10000,1,10000,27,0.265081,0.211093,86.8125,201.25,1,1
1000,10000,1,10000,28,0.302923,0.287419,87.875,242.5,1,1
1000,10000,1,10000,29,0.323681,0.24575,88.4062,220.188,1,1
1000,10000,1,10000,30,0.294167,0.262541,87.5781,230.938,1,1
1000,10000,1,10000,31,0.36947,0.236828,89.7344,217.703,1,1
1000,10000,1,10000,32,0.282585,0.211269,87.1875,204.922,1,1
1000,10000,1,10000,33,0.340657,0.278793,88.8594,233.859,1,1
1000,10000,1,10000,34,0.378254,0.288891,89.9219,246.234,1,1
1000,10000,1,10000,35,0.320769,0.281484,88.375,240.203,1,1
1000,10000,1,10000,36,0.293595,0.291089,87.5781,244.656,1,1
1000,10000,1,10000,37,0.275463,0.254954,86.9375,224.344,1,1
1000,10000,1,10000,38,0.312484,0.230289,88.0625,213.859,1,1
1000,10000,1,10000,39,0.341099,0.222228,88.8594,206.312,1,1
1000,10000,1,10000,40,0.361043,0.265046,89.3906,230.5,1,1
1000,10000,1,10000,41,0.341681,0.281707,88.8438,240.969,1,1
1000,10000,1,10000,42,0.31268,0.255438,88.0781,225.719,1,1
1000,10000,1,10000,43,0.316524,0.250709,88,219.25,1,1
1000,10000,1,10000,44,0.274714,0.320736,87.0938,262.844,1,1
1000,10000,1,10000,45,0.382633,0.373023,89.9062,299.969,1,1
1000,10000,1,10000,46,0.302189,0.251019,87.8125,220.328,1,1
1000,10000,1,10000,47,0.304614,0.280886,87.8125,241.422,1,1
1000,10000,1,10000,48,0.294117,0.300961,87.5625,251.906,1,1
1000,10000,1,10000,49,0.274597,0.208821,87.0156,204.141,1,1
1000,10000,1,10000,50,0.303356,0.247064,87.7344,222.953,1,1
1000,10000,1,10000,51,0.32329,0.262204,88.3906,231.406,1,1
1000,10000,1,10000,52,0.322211,0.236624,88.4062,216.016,1,1
1000,10000,1,10000,53,0.320104,0.327533,88.3281,268.812,1,1
1000,10000,1,10000,54,0.320631,0.276351,88.3125,239.906,1,1
1000,10000,1,10000,55,0.312325,0.293843,87.9844,241.734,1,1
1000,10000,1,10000,56,0.340592,0.291495,88.8438,244.656,1,1
1000,10000,1,10000,57,0.264756,0.210469,86.7188,201.688,1,1
1000,10000,1,10000,58,0.379327,0.222418,89.9062,209.516,1,1
1000,10000,1,10000,59,0.339219,0.264374,88.8281,230.781,1,1
1000,10000,1,10000,60,0.339824,0.286499,88.9219,244.641,1,1
1000,10000,1,10000,61,0.379631,0.254617,89.9062,225.859,1,1
1000,10000,1,10000,62,0.344056,0.238186,88.9062,216.484,1,1
1000,10000,1,10000,63,0.283218,0.295143,87.2656,235.703,1,1
1000,10000,1,10000,64,0.340359,0.236743,88.8438,215.703,1,1
1000,10000,1,10000,65,0.264132,0.220803,86.7344,206.906,1,1
1000,10000,1,10000,66,0.401309,0.284823,86.5781,225.406,1,1
1000,10000,1,10000,67,0.384741,0.270537,89.8906,234,1,1
1000,10000,1,10000,68,0.284053,0.238835,87.3438,216.766,1,1
1000,10000,1,10000,69,0.332642,0.291018,88.75,246.359,1,1
1000,10000,1,10000,70,0.333623,0.338036,88.6094,273.406,1,1
1000,10000,1,10000,71,0.264786,0.281651,86.7344,220.203,1,1
1000,10000,1,10000,72,0.276556,0.228504,87,212.297,1,1
1000,10000,1,10000,73,0.324902,0.300274,88.4062,237.672,1,1
1000,10000,1,10000,74,0.268638,0.223802,86.7188,199.25,1,1
1000,10000,1,10000,75,0.302902,0.256834,87.8906,224.656,1,1
1000,10000,1,10000,76,0.295148,0.263047,87.5781,224.016,1,1
